Subject,Age,Gender,Married,IncomeC,HealthC,ChildC,LifeSatC,SES,Smoke,Spirit,Finish,LifeSat,Income
1,16,0,0,0,38,0,17,17,1,30,1,22,26
2,28,1,0,0,38,0,16,21,1,39,1,20,15
3,16,1,1,16,52,1,39,40,0,30,1,42,88
4,23,1,0,6,51,0,22,31,0,60,1,48,73
5,18,0,1,7,52,0,25,38,0,32,0,20,14
6,30,0,1,25,43,2,53,36,1,39,0,33,38
7,19,0,1,19,55,0,28,41,0,51,1,33,45
8,19,1,0,0,52,2,17,52,0,35,1,21,16
9,34,0,0,29,60,2,20,56,0,23,1,26,64
10,16,1,0,0,53,0,21,27,0,29,0,37,19
11,25,1,0,3,39,0,18,34,1,61,1,40,56
12,16,1,1,1,42,0,31,29,1,58,1,35,70
13,16,0,0,0,43,0,15,28,1,39,1,32,71
14,16,0,1,18,54,1,34,38,0,40,0,37,44
15,16,1,0,0,52,0,20,38,0,27,1,35,25
16,32,1,1,26,54,1,39,37,0,30,0,47,38
17,19,0,0,0,46,0,17,25,0,36,1,26,39
18,17,1,1,10,55,2,48,53,0,43,0,42,6
19,24,0,0,17,52,0,16,36,0,54,1,38,75
20,26,1,1,12,57,1,39,41,0,32,1,42,67
